dimension_a,dimension_b,freq_a,freq_b,n11,n10,n01,n00,exp_11,exp_10,exp_01,exp_00,min_expected,chi2,chi2_p,fisher_p,fisher_p_holm,fisher_p_bh,phi
Internal Completeness,Syntactic Accuracy,21,12,6,15,6,24,4.941176,16.058824,7.058824,22.941176,4.941176,0.504396,0.477575,0.518396,1.000000,1.000000,0.099449
Compliance,External Accuracy,25,8,3,22,5,21,3.921569,21.078431,4.078431,21.921569,3.921569,0.503842,0.477817,0.703002,1.000000,1.000000,-0.099394
Appropriateness,Data Currency,24,3,2,22,1,26,1.411765,22.588235,1.588235,25.411765,1.411765,0.491898,0.483082,0.595486,1.000000,1.000000,0.098209
Compliance,Semantic Accuracy,25,18,10,15,8,18,8.823529,16.176471,9.176471,16.823529,8.823529,0.475524,0.490457,0.565304,1.000000,1.000000,0.096561
Compactness,Versatility,4,5,0,4,5,42,0.392157,3.607843,4.607843,42.392157,0.392157,0.471785,0.492167,1.000000,1.000000,1.000000,-0.096181
Provenance,Versatility,4,5,0,4,5,42,0.392157,3.607843,4.607843,42.392157,0.392157,0.471785,0.492167,1.000000,1.000000,1.000000,-0.096181
Appropriateness,External Completeness,24,15,6,18,9,18,7.058824,16.941176,7.941176,19.058824,7.058824,0.425000,0.514453,0.554204,1.000000,1.000000,-0.091287
Causal Traceability,External Completeness,2,15,1,1,14,35,0.588235,1.411765,14.411765,34.588235,0.588235,0.425000,0.514453,0.505882,1.000000,1.000000,0.091287
Data Currency,Logical Consistency,3,6,0,3,6,42,0.352941,2.647059,5.647059,42.352941,0.352941,0.425000,0.514453,1.000000,1.000000,1.000000,-0.091287
Data Update Currency,External Completeness,1,15,0,1,15,35,0.294118,0.705882,14.705882,35.294118,0.294118,0.425000,0.514453,1.000000,1.000000,1.000000,-0.091287
Compliance,Data Currency,25,3,2,23,1,25,1.470588,23.529412,1.529412,24.470588,1.470588,0.397212,0.528533,0.609844,1.000000,1.000000,0.088252
Causal Traceability,External Accuracy,2,8,0,2,8,41,0.313725,1.686275,7.686275,41.313725,0.313725,0.387280,0.533732,1.000000,1.000000,1.000000,-0.087142
Causal Traceability,Precision,2,8,0,2,8,41,0.313725,1.686275,7.686275,41.313725,0.313725,0.387280,0.533732,1.000000,1.000000,1.000000,-0.087142
Compactness,Provenance,4,4,0,4,4,43,0.313725,3.686275,3.686275,43.313725,0.313725,0.369398,0.543333,1.000000,1.000000,1.000000,-0.085106
Appropriateness,External Accuracy,24,8,3,21,5,22,3.764706,20.235294,4.235294,22.764706,3.764706,0.347989,0.555254,0.707134,1.000000,1.000000,-0.082603
Availability,Versatility,3,5,0,3,5,43,0.294118,2.705882,4.705882,43.294118,0.294118,0.346467,0.556120,1.000000,1.000000,1.000000,-0.082423
Data Currency,Versatility,3,5,0,3,5,43,0.294118,2.705882,4.705882,43.294118,0.294118,0.346467,0.556120,1.000000,1.000000,1.000000,-0.082423
Temporal Traceability,Versatility,3,5,0,3,5,43,0.294118,2.705882,4.705882,43.294118,0.294118,0.346467,0.556120,1.000000,1.000000,1.000000,-0.082423
Time Concurrency,Versatility,3,5,0,3,5,43,0.294118,2.705882,4.705882,43.294118,0.294118,0.346467,0.556120,1.000000,1.000000,1.000000,-0.082423
Availability,Compliance,3,25,1,2,24,24,1.470588,1.529412,23.529412,24.470588,1.470588,0.313846,0.575330,1.000000,1.000000,1.000000,-0.078446
Coherence,Data Update Currency,12,1,0,12,1,38,0.235294,11.764706,0.764706,38.235294,0.235294,0.313846,0.575330,1.000000,1.000000,1.000000,-0.078446
Compliance,Time Concurrency,25,3,1,24,2,24,1.470588,23.529412,1.529412,24.470588,1.470588,0.313846,0.575330,1.000000,1.000000,1.000000,-0.078446
Data Update Currency,Syntactic Accuracy,1,12,0,1,12,38,0.235294,0.764706,11.764706,38.235294,0.235294,0.313846,0.575330,1.000000,1.000000,1.000000,-0.078446
Internal Completeness,Trustworthiness,21,8,4,17,4,26,3.294118,17.705882,4.705882,25.294118,3.294118,0.304983,0.580775,0.702349,1.000000,1.000000,0.077331
Compactness,External Accuracy,4,8,1,3,7,40,0.627451,3.372549,7.372549,39.627451,0.627451,0.284683,0.593648,0.506162,1.000000,1.000000,0.074713
External Accuracy,Provenance,8,4,1,7,3,40,0.627451,7.372549,3.372549,39.627451,0.627451,0.284683,0.593648,0.506162,1.000000,1.000000,0.074713
Availability,Provenance,3,4,0,3,4,44,0.235294,2.764706,3.764706,44.235294,0.235294,0.271277,0.602477,1.000000,1.000000,1.000000,-0.072932
Compactness,Temporal Traceability,4,3,0,4,3,44,0.235294,3.764706,2.764706,44.235294,0.235294,0.271277,0.602477,1.000000,1.000000,1.000000,-0.072932
Data Currency,Provenance,3,4,0,3,4,44,0.235294,2.764706,3.764706,44.235294,0.235294,0.271277,0.602477,1.000000,1.000000,1.000000,-0.072932
Provenance,Time Concurrency,4,3,0,4,3,44,0.235294,3.764706,2.764706,44.235294,0.235294,0.271277,0.602477,1.000000,1.000000,1.000000,-0.072932
Appropriateness,Availability,24,3,1,23,2,25,1.411765,22.588235,1.588235,25.411765,1.411765,0.241030,0.623463,1.000000,1.000000,1.000000,-0.068746
Appropriateness,Temporal Traceability,24,3,1,23,2,25,1.411765,22.588235,1.588235,25.411765,1.411765,0.241030,0.623463,1.000000,1.000000,1.000000,-0.068746
Appropriateness,Time Concurrency,24,3,1,23,2,25,1.411765,22.588235,1.588235,25.411765,1.411765,0.241030,0.623463,1.000000,1.000000,1.000000,-0.068746
Causal Traceability,Versatility,2,5,0,2,5,44,0.196078,1.803922,4.803922,44.196078,0.196078,0.226264,0.634308,1.000000,1.000000,1.000000,-0.066607
Provenance,Semantic Accuracy,4,18,1,3,17,30,1.411765,2.588235,16.588235,30.411765,1.411765,0.201402,0.653591,1.000000,1.000000,1.000000,-0.062842
Availability,Data Currency,3,3,0,3,3,45,0.176471,2.823529,2.823529,45.176471,0.176471,0.199219,0.655352,1.000000,1.000000,1.000000,-0.062500
Availability,Temporal Traceability,3,3,0,3,3,45,0.176471,2.823529,2.823529,45.176471,0.176471,0.199219,0.655352,1.000000,1.000000,1.000000,-0.062500
Availability,Time Concurrency,3,3,0,3,3,45,0.176471,2.823529,2.823529,45.176471,0.176471,0.199219,0.655352,1.000000,1.000000,1.000000,-0.062500
Data Currency,Temporal Traceability,3,3,0,3,3,45,0.176471,2.823529,2.823529,45.176471,0.176471,0.199219,0.655352,1.000000,1.000000,1.000000,-0.062500
Data Update Currency,External Accuracy,1,8,0,1,8,42,0.156863,0.843137,7.843137,42.156863,0.156863,0.189767,0.663110,1.000000,1.000000,1.000000,-0.060999
Data Update Currency,Precision,1,8,0,1,8,42,0.156863,0.843137,7.843137,42.156863,0.156863,0.189767,0.663110,1.000000,1.000000,1.000000,-0.060999
Data Update Currency,Trustworthiness,1,8,0,1,8,42,0.156863,0.843137,7.843137,42.156863,0.156863,0.189767,0.663110,1.000000,1.000000,1.000000,-0.060999
Logical Consistency,Syntactic Accuracy,6,12,1,5,11,34,1.411765,4.588235,10.588235,34.411765,1.411765,0.177991,0.673105,1.000000,1.000000,1.000000,-0.059076
Causal Traceability,Compactness,2,4,0,2,4,45,0.156863,1.843137,3.843137,45.156863,0.156863,0.177160,0.673825,1.000000,1.000000,1.000000,-0.058938
Internal Completeness,Logical Consistency,21,6,2,19,4,26,2.470588,18.529412,3.529412,26.470588,2.470588,0.172698,0.677725,1.000000,1.000000,1.000000,-0.058191
Availability,Syntactic Accuracy,3,12,1,2,11,37,0.705882,2.294118,11.294118,36.705882,0.705882,0.170272,0.679870,0.561152,1.000000,1.000000,0.057781
Coherence,Data Currency,12,3,1,11,2,37,0.705882,11.294118,2.294118,36.705882,0.705882,0.170272,0.679870,0.561152,1.000000,1.000000,0.057781
Coherence,Time Concurrency,12,3,1,11,2,37,0.705882,11.294118,2.294118,36.705882,0.705882,0.170272,0.679870,0.561152,1.000000,1.000000,0.057781
Coherence,External Completeness,12,15,3,9,12,27,3.529412,8.470588,11.470588,27.529412,3.529412,0.147115,0.701307,1.000000,1.000000,1.000000,-0.053709
Compactness,Internal Completeness,4,21,2,2,19,28,1.647059,2.352941,19.352941,27.647059,1.647059,0.139514,0.708765,1.000000,1.000000,1.000000,0.052303
Internal Completeness,Provenance,21,4,2,19,2,28,1.647059,19.352941,2.352941,27.647059,1.647059,0.139514,0.708765,1.000000,1.000000,1.000000,0.052303
Data Update Currency,Logical Consistency,1,6,0,1,6,44,0.117647,0.882353,5.882353,44.117647,0.117647,0.136000,0.712290,1.000000,1.000000,1.000000,-0.051640
Availability,Causal Traceability,3,2,0,3,2,46,0.117647,2.882353,1.882353,46.117647,0.117647,0.130102,0.718326,1.000000,1.000000,1.000000,-0.050508
Causal Traceability,Data Currency,2,3,0,2,3,46,0.117647,1.882353,2.882353,46.117647,0.117647,0.130102,0.718326,1.000000,1.000000,1.000000,-0.050508
External Completeness,Syntactic Accuracy,15,12,4,11,8,28,3.529412,11.470588,8.470588,27.529412,3.529412,0.116239,0.733150,0.730178,1.000000,1.000000,0.047741
Data Update Currency,Versatility,1,5,0,1,5,45,0.098039,0.901961,4.901961,45.098039,0.098039,0.110870,0.739156,1.000000,1.000000,1.000000,-0.046625
Compactness,Data Update Currency,4,1,0,4,1,46,0.078431,3.921569,0.921569,46.078431,0.078431,0.086809,0.768274,1.000000,1.000000,1.000000,-0.041257
Data Update Currency,Provenance,1,4,0,1,4,46,0.078431,0.921569,3.921569,46.078431,0.078431,0.086809,0.768274,1.000000,1.000000,1.000000,-0.041257
Data Currency,Internal Completeness,3,21,1,2,20,28,1.235294,1.764706,19.764706,28.235294,1.235294,0.080952,0.776011,1.000000,1.000000,1.000000,-0.039841
Precision,Versatility,8,5,1,7,4,39,0.784314,7.215686,4.215686,38.784314,0.784314,0.077995,0.780033,1.000000,1.000000,1.000000,0.039107
Appropriateness,Semantic Accuracy,24,18,8,16,10,17,8.470588,15.529412,9.529412,17.470588,8.470588,0.076319,0.782350,1.000000,1.000000,1.000000,-0.038684
Availability,Data Update Currency,3,1,0,3,1,47,0.058824,2.941176,0.941176,47.058824,0.058824,0.063750,0.800664,1.000000,1.000000,1.000000,-0.035355
